2	雲溪友議	96.49
2	古音餘	96.49
2	廣川書跋	96.50
2	四民月令	96.50
2	俗書正誤	96.51
2	楊愼外集	96.51
2	隨函	96.51
2	大藏西域記	96.52
2	大唐西域記	96.52
2	錄異記	96.53
2	崔駰	96.53
2	古音獵要	96.53
2	春秋正義	96.54
2	醫經	96.54
2	澠水燕談	96.55
2	井觀瑣言	96.55
2	中州音韻	96.56
2	衍集	96.56
2	輿服志	96.56
2	冊府元龜	96.57
2	賢愚經	96.57
2	古今印史	96.58
2	楚辭註	96.58
2	吳船錄	96.58
2	漫叟詩話	96.59
2	雲南山川志	96.59
2	潯陽記	96.60
2	羅浮山記	96.60
2	湘中記	96.61
2	南州異物志	96.61
2	字牖	96.61
2	吹景錄	96.62
2	歲華紀麗	96.62
2	郡縣志	96.63
2	名勝志	96.63
2	梁四公記	96.63
2	漢鼓吹曲	96.64
2	義雲章	96.64
2	七錄	96.65
2	淮南	96.65
2	脉經	96.65
2	祴	96.66
2	通韻	96.66
2	中山詩話	96.67
2	備考	96.67
2	老學庵筆記	96.68
2	禮韻	96.68
2	監韻	96.68
2	音譜	96.69
2	續漢志	96.69
2	發蒙記	96.70
2	仙傳拾遺	96.70
2	太平廣記	96.70
2	相玉書	96.71
2	符瑞圖	96.71
2	逸論語	96.72
2	淳化帖	96.72
2	漢武帝內傳	96.73
2	周志	96.73
2	翻譯名義	96.73
2	星槎勝覽	96.74
2	永嘉記	96.74
2	漢樂章	96.75
2	洞靈眞經	96.75
2	學海	96.75
2	陳書	96.76
2	高齋漫錄	96.76
2	大內規制記	96.77
2	唐文粹	96.77
2	吳地志	96.78
2	周語	96.78
2	集仙傳	96.78
2	王制	96.79
2	肎綮錄	96.79
2	佩觿辨證	96.80
2	洪武通韻	96.80
2	事文類聚	96.80
2	錢神論	96.81
2	見聞錄	96.81
2	物類志	96.82
2	筆乗	96.82
2	理學彙編	96.83
2	福建志	96.83
2	益部方物略	96.83
2	易通卦驗	96.84
2	輿服雜事	96.84
2	隂符經	96.85
2	大唐新語	96.85
2	僕區	96.85
2	洪武正韻	96.86
2	詩韻輯略	96.86
2	韻圖	96.87
2	洛陽名園記	96.87
2	韻箋逸字	96.88
2	九章算術	96.88
2	嶺表錄	96.88
2	簫韶	96.89
